"specimen_number","longitude","latitude","elev_prism_m","clim_year","clim_month","ppt_mm","tmin","tave","tmax","clim_date"
"CAS-BOT-BC38",-119.2224,34.7273,1460,1994,8,0,10.9,22.5,34.1,199408
"CAS-BOT-BC38",-119.2224,34.7273,1460,1994,9,21.51,6.7,17.7,28.8,199409
"CAS-BOT-BC38",-119.2224,34.7273,1460,1994,10,31.78,1.5,11.7,22,199410
"CAS-BOT-BC38",-119.2224,34.7273,1460,1994,11,23.58,-4,3.9,11.7,199411
"CAS-BOT-BC38",-119.2224,34.7273,1460,1994,12,31.14,-2.9,4.5,11.9,199412
"CAS-BOT-BC38",-119.2224,34.7273,1460,1995,1,611.46,-2,3.8,9.6,199501
"CAS-BOT-BC38",-119.2224,34.7273,1460,1995,2,58.75,-1.3,7.5,16.2,199502
"CAS-BOT-BC38",-119.2224,34.7273,1460,1995,3,279.27,-1.5,6,13.5,199503
"CAS-BOT-BC38",-119.2224,34.7273,1460,1995,4,10.24,-1.7,8.1,17.9,199504
"CAS-BOT-BC38",-119.2224,34.7273,1460,1995,5,43.63,2,11.3,20.6,199505
"CAS-BOT-BC38",-119.2224,34.7273,1460,1995,6,9.37,5.5,16.3,27.1,199506
"CAS-BOT-BC38",-119.2224,34.7273,1460,1995,7,2.28,8.5,20.5,32.6,199507
"CAS-BOT-BC38",-119.2224,34.7273,1460,1995,8,0,9.8,21.7,33.7,199508
"CAS-BOT-BC38",-119.2224,34.7273,1460,1995,9,0,7.8,19.1,30.4,199509
"CAS-BOT-BC38",-119.2224,34.7273,1460,1995,10,0,2.9,14.3,25.6,199510
"CAS-BOT-BC38",-119.2224,34.7273,1460,1995,11,2.75,2.7,11.8,20.9,199511
"CAS-BOT-BC38",-119.2224,34.7273,1460,1995,12,59.7,-0.9,6.5,13.9,199512
"CAS-BOT-BC38",-120.209,35.78,618,1981,1,83.42,2.4,9.3,16.2,198101
"CAS-BOT-BC38",-120.209,35.78,618,1981,2,42.16,2.8,9.6,16.4,198102
"CAS-BOT-BC38",-120.209,35.78,618,1981,3,105.9,4.1,10.1,16.2,198103
"CAS-BOT-BC38",-120.209,35.78,618,1981,4,16.45,4.7,13.5,22.2,198104
"CAS-BOT-BC38",-120.209,35.78,618,1981,5,0.9,7.6,17.5,27.3,198105
"CAS-BOT-BC38",-120.209,35.78,618,1981,6,0,13.8,24.1,34.5,198106
"CAS-BOT-BC38",-120.209,35.78,618,1981,7,0,14,24.9,35.8,198107
"CAS-BOT-BC38",-120.209,35.78,618,1981,8,0,14.3,24.7,35.1,198108
"CAS-BOT-BC38",-120.209,35.78,618,1981,9,0,11.9,22.1,32.3,198109
"CAS-BOT-BC38",-120.209,35.78,618,1981,10,24.72,7.8,15.9,24,198110
"CAS-BOT-BC38",-120.209,35.78,618,1981,11,39.84,5.1,12,19,198111
"CAS-BOT-BC38",-120.209,35.78,618,1981,12,18.13,2.6,8.8,15,198112
"CAS-BOT-BC38",-120.209,35.78,618,1982,1,65.98,-0.9,5.5,12,198201
"CAS-BOT-BC38",-120.209,35.78,618,1982,2,36.02,2.4,9.3,16.3,198202
"CAS-BOT-BC38",-120.209,35.78,618,1982,3,109.63,3.6,9.3,15,198203
"CAS-BOT-BC38",-120.209,35.78,618,1982,4,76.97,4.5,11.9,19.3,198204
"CAS-BOT-BC38",-120.209,35.78,618,1982,5,0.15,7.5,17.4,27.3,198205
"CAS-BOT-BC38",-120.209,35.78,618,1982,6,4.21,10.8,19.8,28.9,198206
"CAS-BOT-BC38",-120.209,35.78,618,1982,7,0,14.2,23.9,33.7,198207
"CAS-BOT-BC38",-120.209,35.78,618,1982,8,0,14.1,24,33.9,198208
"CAS-BOT-BC38",-120.209,35.78,618,1982,9,32.14,12.4,20.8,29.2,198209
"CAS-BOT-BC38",-120.209,35.78,618,1982,10,27.02,9.2,17.2,25.2,198210
"CAS-BOT-BC38",-120.209,35.78,618,1982,11,83.06,3.4,9.3,15.3,198211
"CAS-BOT-BC38",-120.209,35.78,618,1982,12,40.7,1.2,7.2,13.3,198212
"CAS-BOT-BC38",-120.209,35.78,618,1983,1,140.56,1,6.7,12.3,198301
"CAS-BOT-BC38",-120.209,35.78,618,1983,2,134.88,4,9.6,15.1,198302
"CAS-BOT-BC38",-120.209,35.78,618,1983,3,117.36,5.3,10.5,15.8,198303
"CAS-BOT-BC38",-120.209,35.78,618,1983,4,62.23,4,11.1,18.1,198304
"CAS-BOT-BC38",-120.209,35.78,618,1983,5,9.26,8.1,17.2,26.2,198305
"CAS-BOT-BC38",-120.209,35.78,618,1983,6,0,11.5,21.1,30.6,198306
"CAS-BOT-BC38",-120.209,35.78,618,1983,7,0,12.5,22.5,32.6,198307
"CAS-BOT-BC38",-120.209,35.78,618,1983,8,11.96,16.3,24.9,33.6,198308
"CAS-BOT-BC38",-120.209,35.78,618,1983,9,9.9,13.9,23.1,32.3,198309
"CAS-BOT-BC38",-120.209,35.78,618,1983,10,30.42,10.3,18.2,26,198310
"CAS-BOT-BC38",-120.209,35.78,618,1983,11,51.7,4.8,11.2,17.5,198311
"CAS-BOT-BC38",-120.209,35.78,618,1983,12,78.79,3.2,8.8,14.3,198312
"CAS-BOT-BC38",-120.209,35.78,618,1984,1,3.41,1.5,7.9,14.3,198401
"CAS-BOT-BC38",-120.209,35.78,618,1984,2,10.8,0.9,8.7,16.6,198402
"CAS-BOT-BC38",-120.209,35.78,618,1984,3,9.66,3.5,12,20.4,198403
"CAS-BOT-BC38",-120.209,35.78,618,1984,4,11.4,3.6,12.3,21,198404
"CAS-BOT-BC38",-120.209,35.78,618,1984,5,0,8.9,19.3,29.6,198405
"CAS-BOT-BC38",-120.209,35.78,618,1984,6,0,11.5,21.5,31.4,198406
"CAS-BOT-BC38",-120.209,35.78,618,1984,7,0,17.1,26.7,36.3,198407
"CAS-BOT-BC38",-120.209,35.78,618,1984,8,0.03,15.4,25.1,34.7,198408
"CAS-BOT-BC38",-120.209,35.78,618,1984,9,0,14.5,24.1,33.7,198409
"CAS-BOT-BC38",-120.209,35.78,618,1984,10,15.37,7.7,15.5,23.3,198410
"CAS-BOT-BC38",-120.209,35.78,618,1984,11,54.79,3.4,10.2,17.1,198411
"CAS-BOT-BC38",-120.209,35.78,618,1984,12,65.51,1.5,6.8,12.1,198412
"CAS-BOT-BC38",-120.209,35.78,618,1985,1,14.93,0,5.5,11.1,198501
"CAS-BOT-BC38",-120.209,35.78,618,1985,2,26.98,0.2,8.3,16.4,198502
"CAS-BOT-BC38",-120.209,35.78,618,1985,3,36.86,1.7,8.8,15.9,198503
"CAS-BOT-BC38",-120.209,35.78,618,1985,4,4.34,5.9,15.5,25,198504
"CAS-BOT-BC38",-120.209,35.78,618,1985,5,0,6.9,16.7,26.4,198505
"CAS-BOT-BC38",-120.209,35.78,618,1985,6,0,12.9,23.2,33.4,198506
"CAS-BOT-BC38",-120.209,35.78,618,1985,7,0,16.5,26.2,36,198507
"CAS-BOT-BC38",-120.209,35.78,618,1985,8,0,13.4,23.4,33.3,198508
"CAS-BOT-BC38",-120.209,35.78,618,1985,9,2.89,11.2,19.6,28,198509
"CAS-BOT-BC38",-120.209,35.78,618,1985,10,12.69,9,16.9,24.7,198510
"CAS-BOT-BC38",-120.209,35.78,618,1985,11,54.98,2.9,9.4,15.9,198511
"CAS-BOT-BC38",-120.209,35.78,618,1985,12,21.1,-0.1,6.5,13.1,198512
"CAS-BOT-BC38",-120.209,35.78,618,1986,1,37.39,4,10.6,17.2,198601
"CAS-BOT-BC38",-120.209,35.78,618,1986,2,126.97,4.5,10.2,15.9,198602
"CAS-BOT-BC38",-120.209,35.78,618,1986,3,88.37,5.8,12.7,19.6,198603
"CAS-BOT-BC38",-120.209,35.78,618,1986,4,7.95,5.6,13.6,21.7,198604
"CAS-BOT-BC38",-120.209,35.78,618,1986,5,0,8,17.6,27.2,198605
"CAS-BOT-BC38",-120.209,35.78,618,1986,6,0,12.2,22.4,32.7,198606
"CAS-BOT-BC38",-120.209,35.78,618,1986,7,0.55,14.6,24.2,33.8,198607
"CAS-BOT-BC38",-120.209,35.78,618,1986,8,0,15.4,25.8,36.2,198608
"CAS-BOT-BC38",-120.209,35.78,618,1986,9,36.58,9.7,18.9,28.1,198609
"CAS-BOT-BC38",-120.209,35.78,618,1986,10,0,8.9,17.7,26.5,198610
"CAS-BOT-BC38",-120.209,35.78,618,1986,11,6.67,2.9,11.8,20.8,198611
"CAS-BOT-BC38",-120.209,35.78,618,1986,12,26.11,0.8,7.3,13.9,198612
"CAS-BOT-BC38",-120.209,35.78,618,1987,1,45.58,-0.5,6.2,12.9,198701
"CAS-BOT-BC38",-120.209,35.78,618,1987,2,63.07,1.9,8.6,15.4,198702
"CAS-BOT-BC38",-120.209,35.78,618,1987,3,71.48,3.6,10.4,17.1,198703
"CAS-BOT-BC38",-120.209,35.78,618,1987,4,6.22,5.7,15.8,25.8,198704
"CAS-BOT-BC38",-120.209,35.78,618,1987,5,3.15,9.3,18.4,27.5,198705
"CAS-BOT-BC38",-120.209,35.78,618,1987,6,2.88,12.1,21.9,31.7,198706
"CAS-BOT-BC38",-120.209,35.78,618,1987,7,0,12.7,22.1,31.4,198707
"CAS-BOT-BC38",-120.209,35.78,618,1987,8,0,13.4,23.7,34,198708
"CAS-BOT-BC38",-120.209,35.78,618,1987,9,0,12.1,22.3,32.4,198709
"CAS-BOT-BC38",-120.209,35.78,618,1987,10,34.71,12.7,20.6,28.4,198710
"CAS-BOT-BC38",-120.209,35.78,618,1987,11,36.06,3.9,10.1,16.4,198711
"CAS-BOT-BC38",-120.209,35.78,618,1987,12,74.59,0.9,6.9,12.9,198712
"CAS-BOT-BC38",-120.209,35.78,618,1988,1,45.18,0.8,7.5,14.2,198801
"CAS-BOT-BC38",-120.209,35.78,618,1988,2,38.18,0.7,9.8,18.9,198802
"CAS-BOT-BC38",-120.209,35.78,618,1988,3,20.17,3.5,12.1,20.7,198803
"CAS-BOT-BC38",-120.209,35.78,618,1988,4,49.35,6.4,14.2,22,198804
"CAS-BOT-BC38",-120.209,35.78,618,1988,5,4.87,7.5,16.5,25.5,198805
"CAS-BOT-BC38",-120.209,35.78,618,1988,6,1.81,11.8,20.6,29.4,198806
"CAS-BOT-BC38",-120.209,35.78,618,1988,7,0,16.6,26.5,36.5,198807
"CAS-BOT-BC38",-120.209,35.78,618,1988,8,0,15.6,24.7,33.8,198808
"CAS-BOT-BC38",-120.209,35.78,618,1988,9,0,13.3,22.6,31.9,198809
"CAS-BOT-BC38",-120.209,35.78,618,1988,10,0,11,19.7,28.4,198810
"CAS-BOT-BC38",-120.209,35.78,618,1988,11,25.47,3.7,10.7,17.6,198811
"CAS-BOT-BC38",-120.209,35.78,618,1988,12,92.16,1.2,7,12.8,198812
"CAS-BOT-BC38",-120.209,35.78,618,1989,1,16.31,-0.8,6.2,13.1,198901
"CAS-BOT-BC38",-120.209,35.78,618,1989,2,32.13,1.8,7.6,13.3,198902
"CAS-BOT-BC38",-120.209,35.78,618,1989,3,13,4.9,11.9,19,198903
"CAS-BOT-BC38",-120.209,35.78,618,1989,4,5.07,6.6,15.9,25.1,198904
"CAS-BOT-BC38",-120.209,35.78,618,1989,5,5.37,8.4,17,25.7,198905
"CAS-BOT-BC38",-120.209,35.78,618,1989,6,0,12.5,21.5,30.5,198906
"CAS-BOT-BC38",-120.209,35.78,618,1989,7,0,16.1,25.6,35.1,198907
"CAS-BOT-BC38",-120.209,35.78,618,1989,8,0,14.3,23.4,32.6,198908
"CAS-BOT-BC38",-120.209,35.78,618,1989,9,49.25,11.6,21.1,30.7,198909
"CAS-BOT-BC38",-120.209,35.78,618,1989,10,10.05,10.3,17.7,25.2,198910
"CAS-BOT-BC38",-120.209,35.78,618,1989,11,8.75,2.1,11.1,20.1,198911
"CAS-BOT-BC38",-120.209,35.78,618,1989,12,0.28,-2,7,16.1,198912
"CAS-BOT-BC38",-120.209,35.78,618,1990,1,62.76,1.4,7.6,13.8,199001
"CAS-BOT-BC38",-120.209,35.78,618,1990,2,42.8,0.3,7.1,13.9,199002
"CAS-BOT-BC38",-120.209,35.78,618,1990,3,5.91,5.2,11.9,18.7,199003
"CAS-BOT-BC38",-120.209,35.78,618,1990,4,6.93,7.5,15.7,23.9,199004
"CAS-BOT-BC38",-120.209,35.78,618,1990,5,23.84,8,16.5,25,199005
"CAS-BOT-BC38",-120.209,35.78,618,1990,6,0,12.1,21.2,30.3,199006
"CAS-BOT-BC38",-120.209,35.78,618,1990,7,0,17.4,26.4,35.4,199007
"CAS-BOT-BC38",-120.209,35.78,618,1990,8,0,16.1,24.8,33.4,199008
"CAS-BOT-BC38",-120.209,35.78,618,1990,9,18.04,12.9,21.9,30.8,199009
"CAS-BOT-BC38",-120.209,35.78,618,1990,10,0,10.6,19.5,28.4,199010
"CAS-BOT-BC38",-120.209,35.78,618,1990,11,4.93,3.8,11.2,18.6,199011
"CAS-BOT-BC38",-120.209,35.78,618,1990,12,9.11,-3.7,4.7,13,199012
"CAS-BOT-BC38",-120.209,35.78,618,1991,1,20.47,1.6,8.1,14.7,199101
"CAS-BOT-BC38",-120.209,35.78,618,1991,2,47.27,4.6,12,19.4,199102
"CAS-BOT-BC38",-120.209,35.78,618,1991,3,241.14,3.2,8.4,13.5,199103
"CAS-BOT-BC38",-120.209,35.78,618,1991,4,5.52,4.9,12.4,19.9,199104
"CAS-BOT-BC38",-120.209,35.78,618,1991,5,0,7.2,15.8,24.3,199105
"CAS-BOT-BC38",-120.209,35.78,618,1991,6,0.01,11.6,20.7,29.8,199106
"CAS-BOT-BC38",-120.209,35.78,618,1991,7,0,17.2,26.3,35.3,199107
"CAS-BOT-BC38",-120.209,35.78,618,1991,8,1.75,14.7,23.7,32.7,199108
"CAS-BOT-BC38",-120.209,35.78,618,1991,9,0,15.9,24.9,33.9,199109
"CAS-BOT-BC38",-120.209,35.78,618,1991,10,9.28,12.6,20.9,29.3,199110
"CAS-BOT-BC38",-120.209,35.78,618,1991,11,7.34,3.4,11.9,20.4,199111
"CAS-BOT-BC38",-120.209,35.78,618,1991,12,70.56,1.3,7.8,14.2,199112
"CAS-BOT-BC38",-120.209,35.78,618,1992,1,42.44,0.3,6,11.6,199201
"CAS-BOT-BC38",-120.209,35.78,618,1992,2,169.21,5.8,11,16.3,199202
"CAS-BOT-BC38",-120.209,35.78,618,1992,3,62.76,6.1,11.7,17.3,199203
"CAS-BOT-BC38",-120.209,35.78,618,1992,4,1.76,7.9,16,24.2,199204
"CAS-BOT-BC38",-120.209,35.78,618,1992,5,0,10.4,19.9,29.5,199205
"CAS-BOT-BC38",-120.209,35.78,618,1992,6,0,13.4,21.9,30.4,199206
"CAS-BOT-BC38",-120.209,35.78,618,1992,7,8.17,15.9,24.2,32.5,199207
"CAS-BOT-BC38",-120.209,35.78,618,1992,8,0,18,27,36,199208
"CAS-BOT-BC38",-120.209,35.78,618,1992,9,0,12.3,22.5,32.8,199209
"CAS-BOT-BC38",-120.209,35.78,618,1992,10,16.07,12.8,20,27.3,199210
"CAS-BOT-BC38",-120.209,35.78,618,1992,11,0,3.2,11.1,18.9,199211
"CAS-BOT-BC38",-120.209,35.78,618,1992,12,80.11,0.3,6.4,12.4,199212
"CAS-BOT-BC38",-120.209,35.78,618,1993,1,179.17,2,7,12.1,199301
"CAS-BOT-BC38",-120.209,35.78,618,1993,2,156.05,4.1,8.9,13.7,199302
"CAS-BOT-BC38",-120.209,35.78,618,1993,3,86.64,6.2,12.8,19.3,199303
"CAS-BOT-BC38",-120.209,35.78,618,1993,4,1.99,5.1,13,20.9,199304
"CAS-BOT-BC38",-120.209,35.78,618,1993,5,5.77,8.8,17.4,26,199305
"CAS-BOT-BC38",-120.209,35.78,618,1993,6,4.28,11.2,20.8,30.3,199306
"CAS-BOT-BC38",-120.209,35.78,618,1993,7,0,14,23.5,33,199307
"CAS-BOT-BC38",-120.209,35.78,618,1993,8,0,14.2,23.8,33.4,199308
"CAS-BOT-BC38",-120.209,35.78,618,1993,9,0,11.6,21.6,31.6,199309
"CAS-BOT-BC38",-120.209,35.78,618,1993,10,6.37,11.4,19,26.7,199310
"CAS-BOT-BC38",-120.209,35.78,618,1993,11,23.35,4.5,11.5,18.5,199311
"CAS-BOT-BC38",-120.209,35.78,618,1993,12,31.4,0.3,7.3,14.4,199312
"CAS-BOT-BC38",-120.209,35.78,618,1994,1,43.84,-0.1,7.9,15.9,199401
"CAS-BOT-BC38",-120.209,35.78,618,1994,2,91.88,1.8,7.8,13.8,199402
"CAS-BOT-BC38",-120.209,35.78,618,1994,3,33.54,4.5,12.2,19.9,199403
"CAS-BOT-BC38",-120.209,35.78,618,1994,4,15.39,6.8,14.5,22.2,199404
"CAS-BOT-BC38",-120.209,35.78,618,1994,5,21.48,8.7,16.8,24.9,199405
"CAS-BOT-BC38",-120.209,35.78,618,1994,6,0,13,22.4,31.8,199406
"CAS-BOT-BC38",-120.209,35.78,618,1994,7,0,17.5,26.5,35.5,199407
"CAS-BOT-BC38",-120.209,35.78,618,1994,8,0,16.7,26.1,35.5,199408
"CAS-BOT-BC38",-120.209,35.78,618,1994,9,37.17,13.6,22.4,31.3,199409
"CAS-BOT-BC38",-120.209,35.78,618,1994,10,15.9,10,17.4,24.8,199410
"CAS-BOT-BC38",-120.209,35.78,618,1994,11,46.1,2,8.1,14.2,199411
"CAS-BOT-BC38",-120.209,35.78,618,1994,12,20.97,1,6.7,12.4,199412
"CAS-BOT-BC38",-120.209,35.78,618,1995,1,227.96,4.2,8.6,12.9,199501
"CAS-BOT-BC38",-120.209,35.78,618,1995,2,36.64,5.1,10.3,15.5,199502
"CAS-BOT-BC38",-120.209,35.78,618,1995,3,209.98,5.5,10.9,16.2,199503
"CAS-BOT-BC38",-120.209,35.78,618,1995,4,13.16,5.5,12.9,20.3,199504
"CAS-BOT-BC38",-120.209,35.78,618,1995,5,23.84,8.5,16.1,23.7,199505
"CAS-BOT-BC38",-120.209,35.78,618,1995,6,10.56,11.5,20.5,29.5,199506
"CAS-BOT-BC38",-120.209,35.78,618,1995,7,0,15.6,24.6,33.7,199507
"CAS-BOT-BC38",-120.209,35.78,618,1995,8,0,16.4,25.7,35.1,199508
"CAS-BOT-BC38",-120.209,35.78,618,1995,9,0,13.6,23.3,33,199509
"CAS-BOT-BC38",-120.209,35.78,618,1995,10,0,10.2,19.3,28.5,199510
"CAS-BOT-BC38",-120.209,35.78,618,1995,11,5.24,8.1,15.1,22.2,199511
"CAS-BOT-BC38",-120.209,35.78,618,1995,12,46.14,4.4,10.1,15.7,199512
"UCSB2234",-119.1178,34.711,1718,1981,1,66.91,-3.1,4.1,11.3,198101
"UCSB2234",-119.1178,34.711,1718,1981,2,45.04,-2.2,4.7,11.5,198102
"UCSB2234",-119.1178,34.711,1718,1981,3,170.3,-3,4.2,11.4,198103
"UCSB2234",-119.1178,34.711,1718,1981,4,16.54,0.3,9,17.6,198104
"UCSB2234",-119.1178,34.711,1718,1981,5,3.03,3,12.2,21.4,198105
"UCSB2234",-119.1178,34.711,1718,1981,6,0,9.5,19.6,29.7,198106
"UCSB2234",-119.1178,34.711,1718,1981,7,0,9.6,20.6,31.5,198107
"UCSB2234",-119.1178,34.711,1718,1981,8,0,9.6,20.8,32,198108
"UCSB2234",-119.1178,34.711,1718,1981,9,11.97,7,17.4,27.7,198109
"UCSB2234",-119.1178,34.711,1718,1981,10,21.92,0.2,9.2,18.3,198110
"UCSB2234",-119.1178,34.711,1718,1981,11,43.09,-0.5,6.9,14.2,198111
"UCSB2234",-119.1178,34.711,1718,1981,12,7.72,-3.9,3.2,10.4,198112
"UCSB2234",-119.1178,34.711,1718,1982,1,74.95,-5.8,0.5,6.7,198201
"UCSB2234",-119.1178,34.711,1718,1982,2,17.98,-2.7,3.5,9.7,198202
"UCSB2234",-119.1178,34.711,1718,1982,3,149.46,-3.6,3.6,10.8,198203
"UCSB2234",-119.1178,34.711,1718,1982,4,70.86,-1.4,6.6,14.6,198204
"UCSB2234",-119.1178,34.711,1718,1982,5,0.17,2.5,11.7,21,198205
"UCSB2234",-119.1178,34.711,1718,1982,6,2.88,4,13.9,23.7,198206
"UCSB2234",-119.1178,34.711,1718,1982,7,7.94,8.1,18.5,29,198207
"UCSB2234",-119.1178,34.711,1718,1982,8,0.01,7.6,19,30.3,198208
"UCSB2234",-119.1178,34.711,1718,1982,9,36.09,4.9,14.8,24.7,198209
"UCSB2234",-119.1178,34.711,1718,1982,10,9.54,1.6,10.9,20.2,198210
"UCSB2234",-119.1178,34.711,1718,1982,11,79.94,-3.3,3.9,11.1,198211
"UCSB2234",-119.1178,34.711,1718,1982,12,116.29,-4.1,1.6,7.3,198212
"UCSB2234",-119.1178,34.711,1718,1983,1,198.29,-4.4,2.8,10,198301
"UCSB2234",-119.1178,34.711,1718,1983,2,120.55,-3.7,3,9.6,198302
"UCSB2234",-119.1178,34.711,1718,1983,3,249.46,-2.6,3.9,10.3,198303
"UCSB2234",-119.1178,34.711,1718,1983,4,84.25,-2.8,4.8,12.3,198304
"UCSB2234",-119.1178,34.711,1718,1983,5,9.57,2.1,11.7,21.2,198305
"UCSB2234",-119.1178,34.711,1718,1983,6,0,5.9,15.3,24.7,198306
"UCSB2234",-119.1178,34.711,1718,1983,7,0,5.9,17.1,28.3,198307
"UCSB2234",-119.1178,34.711,1718,1983,8,71.35,8.6,18.8,29,198308
"UCSB2234",-119.1178,34.711,1718,1983,9,2.62,6.8,17.3,27.7,198309
"UCSB2234",-119.1178,34.711,1718,1983,10,86.16,2.9,11.7,20.5,198310
"UCSB2234",-119.1178,34.711,1718,1983,11,67.07,-1.8,4.5,10.7,198311
"UCSB2234",-119.1178,34.711,1718,1983,12,88.63,-3,2.3,7.6,198312
"UCSB2234",-119.1178,34.711,1718,1984,1,0.49,-2.9,3.8,10.5,198401
"UCSB2234",-119.1178,34.711,1718,1984,2,0,-3.2,3.5,10.2,198402
"UCSB2234",-119.1178,34.711,1718,1984,3,9.82,-0.5,6.7,13.9,198403
"UCSB2234",-119.1178,34.711,1718,1984,4,4.71,-1,7.4,15.8,198404
"UCSB2234",-119.1178,34.711,1718,1984,5,0,4.8,14.6,24.4,198405
"UCSB2234",-119.1178,34.711,1718,1984,6,0,5.1,15.6,26,198406
"UCSB2234",-119.1178,34.711,1718,1984,7,57.58,9.4,20.4,31.3,198407
"UCSB2234",-119.1178,34.711,1718,1984,8,46.26,9.3,19.9,30.5,198408
"UCSB2234",-119.1178,34.711,1718,1984,9,22.09,7.9,18,28.2,198409
"UCSB2234",-119.1178,34.711,1718,1984,10,4.05,-0.5,9.2,18.9,198410
"UCSB2234",-119.1178,34.711,1718,1984,11,56.17,-3,3.7,10.5,198411
"UCSB2234",-119.1178,34.711,1718,1984,12,116.03,-6.3,-1.1,4.2,198412
"UCSB2234",-119.1178,34.711,1718,1985,1,30.73,-5.9,1.2,8.3,198501
"UCSB2234",-119.1178,34.711,1718,1985,2,20.3,-3.7,3,9.6,198502
"UCSB2234",-119.1178,34.711,1718,1985,3,22.38,-4.7,3.5,11.6,198503
"UCSB2234",-119.1178,34.711,1718,1985,4,4.83,-0.5,9.7,19.9,198504
"UCSB2234",-119.1178,34.711,1718,1985,5,0.51,1.4,11.4,21.4,198505
"UCSB2234",-119.1178,34.711,1718,1985,6,0,8,18.2,28.4,198506
"UCSB2234",-119.1178,34.711,1718,1985,7,3.41,9.9,20.9,31.8,198507
"UCSB2234",-119.1178,34.711,1718,1985,8,0,7.1,18.4,29.6,198508
"UCSB2234",-119.1178,34.711,1718,1985,9,12.63,2.2,12.2,22.2,198509
"UCSB2234",-119.1178,34.711,1718,1985,10,6.17,1.6,11,20.4,198510
"UCSB2234",-119.1178,34.711,1718,1985,11,88.28,-3.1,3.6,10.4,198511
"UCSB2234",-119.1178,34.711,1718,1985,12,27.29,-4,3.4,10.8,198512
"UCSB2234",-119.1178,34.711,1718,1986,1,90.54,-1,5.5,12,198601
"UCSB2234",-119.1178,34.711,1718,1986,2,171.04,-2.4,4,10.4,198602
"UCSB2234",-119.1178,34.711,1718,1986,3,106.04,0,6.7,13.4,198603
"UCSB2234",-119.1178,34.711,1718,1986,4,43.12,-0.9,7.6,16.1,198604
"UCSB2234",-119.1178,34.711,1718,1986,5,0,3.2,12.5,21.8,198605
"UCSB2234",-119.1178,34.711,1718,1986,6,0,7.1,17.4,27.6,198606
"UCSB2234",-119.1178,34.711,1718,1986,7,0,6.4,17.4,28.3,198607
"UCSB2234",-119.1178,34.711,1718,1986,8,0,9.7,20.7,31.8,198608
"UCSB2234",-119.1178,34.711,1718,1986,9,13.44,1.1,11.5,21.9,198609
"UCSB2234",-119.1178,34.711,1718,1986,10,0,1.2,10.7,20.1,198610
"UCSB2234",-119.1178,34.711,1718,1986,11,30.7,-1.3,6.4,14,198611
"UCSB2234",-119.1178,34.711,1718,1986,12,12.17,-4.3,2.3,8.9,198612
"UCSB2234",-119.1178,34.711,1718,1987,1,40.93,-7.1,0,7.1,198701
"UCSB2234",-119.1178,34.711,1718,1987,2,29.66,-4.8,2.3,9.5,198702
"UCSB2234",-119.1178,34.711,1718,1987,3,51.63,-3.1,3.4,9.9,198703
"UCSB2234",-119.1178,34.711,1718,1987,4,1.05,0.7,10.9,21.1,198704
"UCSB2234",-119.1178,34.711,1718,1987,5,19.84,2.4,12.1,21.9,198705
"UCSB2234",-119.1178,34.711,1718,1987,6,9.25,7.3,17.6,28,198706
"UCSB2234",-119.1178,34.711,1718,1987,7,6.67,5.5,16.3,27.2,198707
"UCSB2234",-119.1178,34.711,1718,1987,8,0,7.5,18.7,29.8,198708
"UCSB2234",-119.1178,34.711,1718,1987,9,1.69,6.1,16.5,27,198709
"UCSB2234",-119.1178,34.711,1718,1987,10,34.79,5.5,14.5,23.5,198710
"UCSB2234",-119.1178,34.711,1718,1987,11,59.32,-1.9,4.5,10.8,198711
"UCSB2234",-119.1178,34.711,1718,1987,12,79.82,-6.1,-0.7,4.7,198712
"UCSB2234",-119.1178,34.711,1718,1988,1,71.06,-5.3,1.5,8.2,198801
"UCSB2234",-119.1178,34.711,1718,1988,2,59.57,-1.9,4.9,11.6,198802
"UCSB2234",-119.1178,34.711,1718,1988,3,43.57,-1.5,5.8,13.1,198803
"UCSB2234",-119.1178,34.711,1718,1988,4,76.2,0.2,8.6,17.1,198804
"UCSB2234",-119.1178,34.711,1718,1988,5,3.82,1.7,11.2,20.7,198805
"UCSB2234",-119.1178,34.711,1718,1988,6,0.63,3.6,14.5,25.4,198806
"UCSB2234",-119.1178,34.711,1718,1988,7,1.06,10.3,20.9,31.6,198807
"UCSB2234",-119.1178,34.711,1718,1988,8,3.04,7.6,18.6,29.7,198808
"UCSB2234",-119.1178,34.711,1718,1988,9,15.78,4.8,16,27.1,198809
"UCSB2234",-119.1178,34.711,1718,1988,10,0.64,1.8,13.1,24.5,198810
"UCSB2234",-119.1178,34.711,1718,1988,11,27.86,-1.4,5.3,12,198811
"UCSB2234",-119.1178,34.711,1718,1988,12,74.34,-4,1.7,7.5,198812
"UCSB2234",-119.1178,34.711,1718,1989,1,17.29,-6,0.3,6.7,198901
"UCSB2234",-119.1178,34.711,1718,1989,2,77.87,-4.6,1.4,7.4,198902
"UCSB2234",-119.1178,34.711,1718,1989,3,13.78,-1.1,6.2,13.6,198903
"UCSB2234",-119.1178,34.711,1718,1989,4,4.77,3.7,12.7,21.7,198904
"UCSB2234",-119.1178,34.711,1718,1989,5,11.89,2.2,11.7,21.2,198905
"UCSB2234",-119.1178,34.711,1718,1989,6,0,5.8,16.1,26.5,198906
"UCSB2234",-119.1178,34.711,1718,1989,7,10.1,9.7,20.6,31.5,198907
"UCSB2234",-119.1178,34.711,1718,1989,8,0,6.5,17.5,28.5,198908
