specimen_number	taxon_name	collector	coll_number_prefix	coll_number	coll_number_suffix	collection_date	late_collection_date	verbatim_date	county	elevation	locality	latitude	longitude	datum	source	error_distance	units	citation
CAS-BOT-BC38243	Caulanthus anceps	Lincoln Constance; Alan A. Beetle		2536		1940-03-22	1940-03-22	22-Mar-40	San Luis Obispo	762 m	"California Inner Coast Ranges. Carrizo Plain, 10.5 miles south of Simmler."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38244	Caulanthus anceps	Beatrice F. Howitt		199		1960-04-07	1960-04-07	07-Apr-60	San Luis Obispo		"Along the road, about 1 mile from Cholame."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38245	Caulanthus anceps	Ernest C. Twisselmann		230		1953-04-26	1953-04-26	"April 26, 1953."	San Luis Obispo	670 m	"Temblor Range and the Western San Joaquin Valley. Goldtree Hills, 1 mile south of Grants Lake."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38246	Caulanthus anceps	Ernest C. Twisselmann		1740		1955-03-22	1955-03-22	"March 22, 1955."	San Luis Obispo	594 m	"Temblor Range and the Western San Joaquin Valley. Low hills on east shore of Soda Lake, Carissa Plains."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38247	Caulanthus anceps	Ernest C. Twisselmann		2566		1956-03-18	1956-03-18	"March 18, 1956."	San Luis Obispo	579 m	Temblor Range and the Western San Joaquin Valley. Gillis Canyon.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38248	Caulanthus anceps	Ernest C. Twisselmann		6707		1962-03-18	1962-03-18	"March 18, 1962."	San Luis Obispo	655 m	Temblor Range and the Western San Joaquin Valley. Hills at the summit of Palo Prieta Canyon.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38249	Caulanthus anceps	Ernest C. Twisselmann		10492		1965-03-23	1965-03-23	"March 23, 1965."	San Luis Obispo	670 m	Temblor Range and the Western San Joaquin Valley. Pinole Hills at the head of Bitterwater Creek.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38250	Caulanthus anceps	Ernest C. Twisselmann		11103		1965-06-30	1965-06-30	"June 30, 1965."	San Luis Obispo	655 m	Temblor Range and the Western San Joaquin Valley. Hills at the summit of Palo Prieta Canyon.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38252	Caulanthus anceps	R. F. Hoover		7626		1949-04-21	1949-04-21	21-Apr-49	San Luis Obispo		14 miles east of Creston on La Panza road.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38253	Caulanthus anceps	R. F. Hoover		7626		1949-04-21	1949-04-21	21-Apr-49	San Luis Obispo		14 miles east of Creston on La Panza road.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CDA13769	Caulanthus anceps	"G. F. Hrusa, Jeff Hart"		10698		1993-04-06	1993-04-06	06-Apr-93	San Luis Obispo	609 m	Carrizo Plain. S end of Soda lake on E side.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CDA17829	Caulanthus anceps	K. & G. Jones	s.n.			1984-03-25	1984-03-25	25-Mar-84	San Luis Obispo		"La Panza Range; La Panza District, across Pozo Road from the Bench Mark on the N side of the road"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CDA24773	Caulanthus anceps	T. C. Fuller		7740		1962-03-01	1962-03-01	01-Mar-62	San Luis Obispo		"Highway 41, 3.7 miles northeast of Cholame."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS18132	Caulanthus anceps	Rimo Bacigalupi with G. T. Robbins and H. and L. Mason		5559		1956-03-30	1956-03-30	Mar 30 1956	San Luis Obispo	350 m	in a triangular field formed by junction of Calif. Hwy. 41; Cholame Valley							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS29339	Caulanthus anceps	"Rimo Bacigalupi, and L. Heckard"		8435		1962-03-27	1962-03-27	Mar 27 1962	San Luis Obispo	365 m	"2.0 mi ne Calif. Hwy. 41 junction with U.S. Hwy. 466 (slope s of Calif. Hwy. 41, 4.1 mi w of Kern Co. line)"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS54050	Caulanthus anceps	W. L. Jepson		16203		1932-04-03	1932-04-03	Apr 3 1932	San Luis Obispo	502 m	"ca 3 mi s Choice Valley School (n of Carrizo Plains, se San Luis Obispo Co.); Yeguas Hills"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS54055	Caulanthus anceps	W. L. Jepson		15391		1930-04-13	1930-04-13	Apr 13 1930	Fresno	975 m	"Diablo Range, sw Fresno Co. Diablo Range"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS54056	Caulanthus anceps	Alice Eastwood				1896-05-02	1896-05-02	May 2 1896	San Luis Obispo		Cuyama White Hills (near the boundary between Santa Barbara and San Luis Obispo Counties)							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS54057	Caulanthus anceps	W. I. Follett		20		1935-03-17	1935-03-17	Mar 17 1935	Monterey		"7.6 mi w Priest Valley (17 mi e of San Lucas, Mustang Grade on the Waltham Pass road between Coalinga and San Lucas); Mustang Grade"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS74779	Caulanthus anceps	"L. R. Heckard, T. I. Chuang and R. C. Bacigalupi"		3987		1975-04-24	1975-04-24	Apr 24 1975	San Luis Obispo	609 m	w. Simmler (Cholame rd. ca. 10 mi. n. of rte. 58)							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS97759	Caulanthus anceps	"Annetta M. Carter, Ethel Crum, Dwight Crum"		1506		1940-04-07	1940-04-07	4/7/1940	San Luis Obispo	426 m	Palo Prieta Canyon. 2.5 mi. SE of Cholame on road to Annette. N end of Temblor Range.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
OBI14866	Caulanthus anceps	Herbert L. Mason		14203		1952-04-06	1952-04-06	06-Apr-52	San Luis Obispo		"Temblor Range, E of Cholame"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
OBI14935	Caulanthus anceps	Robert F. Hoover		7787		1950-04-02	1950-04-02	02-Apr-50	San Luis Obispo		W branch of Fernandez Crk; jsust above La Panza-Creston rd							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
OBI14938	Caulanthus anceps	Robert F. Hoover		7626		1949-04-21	1949-04-21	21-Apr-49	San Luis Obispo		14 mi E of Creston on Laz Panza Rd							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
OBI28769	Caulanthus anceps	Melissa Luckow		657		1981-04-18	1981-04-18	18-Apr-81	San Luis Obispo		Ca. 1/2 mi S of Soda Lake on hwy 58							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
OBI57958	Caulanthus anceps	"K. & G. Jones, G. Jones"	s.n.			1984-03-25	1984-03-25	25-Mar-84	San Luis Obispo		"La Panza Range. La Panza district, across Pozo rd from the Bench Mark on the N side of the rd on a wide open hill slope"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
OBI77646	Caulanthus anceps	Eben McMillan		24		1952-03-04	1952-03-04	04-Mar-52	San Luis Obispo		E. McMillan Ranch 2 mi S 8 mi E Shandon							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
PGM5653	Caulanthus anceps	Beatrice F Howitt		1515		1963-05-18	1963-05-18	1963-05-18	Monterey		"Diablo Range, Vineyard Canyon Rd near, Gus Wolf Ranch on jeep road &gt; Indian Valley"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM203562	Caulanthus anceps	I. L. Wiggins		5789		1932-03-20	1932-03-20	1932-03-20	San Luis Obispo		Hillsides in immediate vicinity of Cholame.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM203587	Caulanthus anceps	I. L. Wiggins	s.n.			1932-03-21	1932-03-21	1932-03-21	San Luis Obispo		Near junction of Carrizo Plain road with Bitterwater Valley Road.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM203594	Caulanthus anceps	I. L. Wiggins	s.n.			1932-03-25	1932-03-25	1932-03-25	San Luis Obispo		"West side of highway, 6 miles N of Paso Robles"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM224189	Caulanthus anceps	Ethel Crum		1727		1935-04-13	1935-04-13	1935-04-13	San Luis Obispo	915m	"19 miles N of Simmler, on Cholame road."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM264858	Caulanthus anceps	"Lincoln Constance, A. A. Beetle"		2537		1940-03-22	1940-03-22	1940-03-22	San Luis Obispo	488m	2 miles northeast of La Panza.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM264861	Caulanthus anceps	"Lincoln Constance, A. A. Beetle"		2536		1940-03-22	1940-03-22	1940-03-22	San Luis Obispo	762m	"Carrizo Plain, 10.5 miles S of Simmler"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM273825	Caulanthus anceps	Roxana S. Ferris	s.n.			1935-03-21	1935-03-21	1935-03-21	San Luis Obispo		5 miles east of Cholame							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM273832	Caulanthus anceps	Ethel Crum		1727		1935-04-13	1935-04-13	1935-04-13	San Luis Obispo	915m	"19 miles N of Simmler, on Cholame road."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM97322	Caulanthus anceps	P. A. Munz		10150		1926-04-08	1926-04-08	1926-04-08	San Luis Obispo		Paso Robles							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM98139	Caulanthus anceps	P. A. Munz		9192		1925-03-24	1925-03-24	1925-03-24	Monterey	915m	N of Parkfield.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM98498	Caulanthus anceps	P. A. Munz		10156		1926-04-08	1926-04-08	1926-04-08	San Luis Obispo		35 miles east of Paso Robles							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA128455	Caulanthus anceps	Clare B. Hardham		4407		1959-05-06	1959-05-06	1959-05-06	San Luis Obispo		1 mile east of Bee Rock.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA14166	Caulanthus anceps	Roxana S. Ferris		9034		1935-03-21	1935-03-21	1935-03-21	San Luis Obispo		5 miles east of Cholame on the Wasco-Paso Robles Road							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA14170	Caulanthus anceps	Roxana S. Ferris		9031		1935-03-21	1935-03-21	1935-03-21	San Luis Obispo		5 miles east of Cholame on the Wasco-Paso Robles Road							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA182306	Caulanthus anceps	J. D. Olmsted		3376		1962-04-26	1962-04-26	1962-04-26	Ventura	1463m	"Along road from Frazier Mt. Park to US 499 [399], ca. 5 miles W of turn to Thorn Meadows."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA201579	Caulanthus anceps	Robert F. Hoover		8417		1958-03-19	1958-03-19	1958-03-19	San Luis Obispo		"South of Soda Lake, Carrizo Plain."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA28870	Caulanthus anceps	"Lincoln Constance, A. A. Beetle"		2536		1940-03-22	1940-03-22	1940-03-22	San Luis Obispo	762m	"Carrizo Plain, 10.5 miles S of Simmler"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA303547	Caulanthus anceps	J. R. Shevock		784		1971-03-14	1971-03-14	1971-03-14	San Luis Obispo	610m	Palos Pietos Road [Not found: There is a short Palo Prieto Road in Kern County.]							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA549653	Caulanthus anceps	C. F. Smith		5420		1957-05-22	1957-05-22	1957-05-22	Santa Barbara		"Santa Barbara county, Santa Barbara Potrero, Sierra Madre Mtns"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA567207	Caulanthus anceps	W. Wisura		4712		1992-04-25	1992-04-25	1992-04-25	Ventura		"Mt. Pinos, Hwy 33, 4.1 miles N of turnoff to Lockwood Valley road."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA603776	Caulanthus anceps	Joseph A. Ewan		9195		1935-03-31	1935-03-31	1935-03-31	San Benito	518m	"Little Rabbit Valley, 5 miles N of Bitterwater."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA740335	Caulanthus anceps	Pam De Vries		7100		2008-05-16	2008-05-16	2008-05-16	Ventura	1667m	"Western Transverse Range; Lockwood Valley region; off Yellowjacket Trail, ca. 10 mi east of junction of Forest Service Roads 7N03 and 7N03C (east of Lockwood Valley Road)."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA757900	Caulanthus anceps	"Amber Swanson, Julie Evens"		128		2010-03-30	2010-03-30	2010-03-30	San Luis Obispo	637m	"South of Chimineas Ranch off of Gilliam Springs Rd, 3 miles from Carrizo Cyn Rd from Chimineas Ranch."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA8314	Caulanthus anceps	I. L. Wiggins		5789		1932-03-20	1932-03-20	1932-03-20	San Luis Obispo		Hillsides in immediate vicinity of Cholame.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG29844	Caulanthus anceps	E. Crum		1727		1935-04-13	1935-04-13	13-Apr-35	San Luis Obispo		"19 mi N of Simmler, on Cholame Rd"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG51084	Caulanthus anceps	R. S. Woglum		1598		1938-04-22	1938-04-22	22-Apr-38	San Luis Obispo		10 mi S of Simmler (SE)							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG51085	Caulanthus anceps	R. S. Woglum		1589		1938-04-22	1938-04-22	22-Apr-38	San Luis Obispo		10 mi S of Simmler							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG70225	Caulanthus anceps	J. E. Butner		694		1950-03-18	1950-03-18	18-Mar-50	San Luis Obispo		MacMillan Ranch							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG95502	Caulanthus anceps	"D. Keil, D. Walters"		19087		1986-03-22	1986-03-22	22-Mar-86	San Luis Obispo	585 m	"S end of Soda Lake; T31S, R20E, S20 and 29"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SFV1531	Caulanthus anceps	M. A. Piehl		62110		1962-05-10	1962-05-10	May 10 1962	Santa Barbara	1585 m	Santa Barbara Potrero.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SFV16220	Caulanthus anceps	"S. Mason, J. Artero"		47		1995-04-01	1995-04-01	Apr 1 1995	San Luis Obispo	610 m	"Carrizo Plain Carrizo Plain Natural Area. Off Simler Road, 0.7 miles from Soda Lake Road. Saline, alkaline area near Soda Lake."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SJSU3324	Caulanthus anceps	C. W. Sharsmith		6782		1962-04-20	1962-04-20	4/20/1962	San Luis Obispo	640 m	Temblor Range c. 10 mi NW of Simmler							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1179064	Caulanthus anceps	Herbert L. Mason		14203		1952-04-06	1952-04-06	Apr 6 1952	San Luis Obispo		e of Cholame; Temblor Range							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1296269	Caulanthus anceps	R. F. Hoover		7439		1948-04-12	1948-04-12	Apr 12 1948	San Luis Obispo		foothills on w side Cottonwood Pass							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1296270	Caulanthus anceps	R. F. Hoover		7787		1950-04-02	1950-04-02	Apr 2 1950	San Luis Obispo		just above La Panza-Creston Rd. (w branch of Fernandez Creek); Fernandez Creek							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1296272	Caulanthus anceps	R. F. Hoover		7626		1949-04-21	1949-04-21	Apr 21 1949	San Luis Obispo		14 mi e Creston (on La Panza road)							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1296273	Caulanthus anceps	R. F. Hoover		8417		1958-03-19	1958-03-19	Mar 19 1958	San Luis Obispo		s end Soda Lake; Carrizo Plain							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1488858	Caulanthus anceps	Katherine K. Muller		1003		1960-05-18	1960-05-18	May 18 1960	Santa Barbara	1584 m	Santa Barbara Potrero Sierra Madre Mountains							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1488859	Caulanthus anceps	Katherine K. Muller		1003		1960-05-18	1960-05-18	May 18 1960	Santa Barbara	1584 m	Santa Barbara Potrero Sierra Madre Mountains							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1614512	Caulanthus anceps	Charles M. Belshaw		457		1935-03-30	1935-03-30	Mar 30 1935	San Luis Obispo		near Cholame							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1746011	Caulanthus anceps	"Annetta M. Carter, Ethel Crum, Dwight Crum"		1506		1940-04-07	1940-04-07	4/7/1940	San Luis Obispo	426 m	Palo Prieta Canyon. 2.5 mi. SE of Cholame on road to Annette. N end of Temblor Range.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC310772	Caulanthus anceps	Philip A. Munz		9192		1925-03-24	1925-03-24	Mar 24 1925	Monterey	914 m	n of Parkfield							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC524092	Caulanthus anceps	Ira L. Wiggins		5789		1932-03-20	1932-03-20	Mar 20 1932	San Luis Obispo		hillsides in immediate vicinity Cholame							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC545853	Caulanthus anceps	Ethel Crum		1727		1935-04-13	1935-04-13	Apr 13 1935	San Luis Obispo	914 m	19 mi n Simmler (on Cholame road)							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC564113	Caulanthus anceps	Roxana S. Ferris		9031		1935-03-21	1935-03-21	Mar 21 1935	San Luis Obispo		5 mi e Cholame (on the Wasco-Paso Robles Road)							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC564185	Caulanthus anceps	Roxana S. Ferris		9112		1935-03-29	1935-03-29	Mar 29 1935	San Luis Obispo		above Soda Lake; Carriso Plain							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC564188	Caulanthus anceps	Roxana S. Ferris		9147		1935-03-31	1935-03-31	Mar 31 1935	Monterey		2 mi n Estrella (on Parkfield Road)							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC565437	Caulanthus anceps	Chas. M. Belshaw		457		1935-03-27	1935-03-30	Mar 27 1935-Mar 30 1936	San Luis Obispo		near Cholame; Inner South Coast Range							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC659472	Caulanthus anceps	"Lincoln Constance, Alan A. Beetle"		2536		1940-03-22	1940-03-22	Mar 22 1940	San Luis Obispo	762 m	"10.5 mi s Simmler; Inner Coast Ranges, Carrizo Plain"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCD114197	Caulanthus anceps	Ethel Crum		1727		1935-04-13	1935-04-13	13-Apr-35	San Luis Obispo	914 m	"San Luis Obispo County: 19 miles N of Simmler, on Cholame Road."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCD114198	Caulanthus anceps	T. C. Fuller		7740		1962-03-01	1962-03-01	01-Mar-62	San Luis Obispo		"San Luis Obispo County: 3.7 miles NE of Cholame, Highway 41."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCD114199	Caulanthus anceps	"Steve Mason, Joe Artero"		47		1995-04-01	1995-04-01	01-Apr-95	San Luis Obispo	609 m	"San Luis Obispo County: Carrizo Plain Natural Area, off Simler Road, 0.7 mile from Soda Lake Road."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCD114200	Caulanthus anceps	Marc Meyer		15		1993-04-03	1993-04-03	03-Apr-93	San Luis Obispo		"San Luis Obispo County: Carrizo Plain Natural Area, 2 miles NW of Soda Lake Road and Simmier Road on Soda Lake Road, adjacent to Soda Lake."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCSB14926	Caulanthus anceps			1983		1962-03-24	1962-03-24	1962-03-24	San Luis Obispo	441 m	2.8 miles northeast of U.S. 466 at Cholame on State 41							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCSB15372	Caulanthus anceps			2038		1962-03-29	1962-03-29	1962-03-29	San Luis Obispo	487 m	"22.1 miles west of Simmler, La Panza Range"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCSB17403	Caulanthus anceps			2079		1962-03-29	1962-03-29	1962-03-29	San Luis Obispo	609 m	"At the western edge of the Carrizo Plain, about 9 miles south by southwest of Simmler"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCSB2486	Caulanthus anceps	"Lincoln Constance, Alan Beetle"		2536		1940-03-22	1940-03-22	1940-03-22	San Luis Obispo	762 m	"Carrizo Plain, 10.5 miles south of Simmler"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCSB41145	Caulanthus anceps	Matt Brown		53		1980-04-18	1980-04-18	1980-04-18	Santa Barbara	548 m	"12.7 miles west of New Cuyama on highway 166; then 2.9 miles south of highway 166 on Cottonwood Canyon Road, on the west side of the road"							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
